order_id,order_ts,warehouse,vehicle_type,sku_category,route_distance_km,order_volume_units,delivery_cost,delivery_delay_min,on_time,order_date,month,week
ORD100000,2026-05-09 18:40:00,W3 - South,Van,Personal Care,2.4,5,9.07,-32.8,True,2026-05-09,2026-05,2026-05-04
ORD100001,2026-07-09 16:07:00,W2 - Central,Van,Apparel,9.87,4,16.0,-15.7,True,2026-07-09,2026-07,2026-07-06
ORD100002,2026-06-28 22:19:00,W1 - North,Bike,Home & Kitchen,7.65,3,7.44,-11.0,True,2026-06-28,2026-06,2026-06-22
ORD100003,2026-06-09 23:03:00,W2 - Central,Van,Apparel,11.07,7,15.88,-14.6,True,2026-06-09,2026-06,2026-06-08
ORD100004,2026-06-08 16:55:00,W1 - North,Van,Grocery,9.32,4,14.81,-17.1,True,2026-06-08,2026-06,2026-06-08
ORD100005,2026-07-17 08:54:00,W3 - South,Van,Grocery,17.04,5,23.1,-6.5,True,2026-07-17,2026-07,2026-07-13
ORD100006,2026-05-08 14:22:00,W2 - Central,Bike,Home & Kitchen,4.41,3,6.47,-18.9,True,2026-05-08,2026-05,2026-05-04
ORD100007,2026-07-02 10:12:00,W1 - North,Truck,Home & Kitchen,14.12,4,25.65,5.2,False,2026-07-02,2026-07,2026-06-29
ORD100008,2026-05-19 15:05:00,W1 - North,Bike,Apparel,3.7,7,8.96,-32.1,True,2026-05-19,2026-05,2026-05-18
ORD100009,2026-05-09 19:29:00,W2 - Central,Truck,Electronics,6.51,6,15.55,5.0,False,2026-05-09,2026-05,2026-05-04
ORD100010,2026-06-17 08:51:00,W1 - North,Bike,Grocery,4.51,3,8.0,-29.2,True,2026-06-17,2026-06,2026-06-15
ORD100011,2026-07-27 12:08:00,W3 - South,Bike,Personal Care,13.66,6,11.87,-10.3,True,2026-07-27,2026-07,2026-07-27
ORD100012,2026-07-06 01:05:00,W2 - Central,Van,Grocery,14.86,4,19.99,8.6,False,2026-07-06,2026-07,2026-07-06
ORD100013,2026-07-08 17:40:00,W2 - Central,Bike,Grocery,4.77,6,9.65,-15.6,True,2026-07-08,2026-07,2026-07-06
ORD100014,2026-07-04 11:45:00,W1 - North,Van,Home & Kitchen,5.97,8,14.88,-18.3,True,2026-07-04,2026-07,2026-06-29
ORD100015,2026-07-10 11:01:00,W2 - Central,Van,Home & Kitchen,8.42,7,11.22,-8.7,True,2026-07-10,2026-07,2026-07-06
ORD100016,2026-06-16 12:46:00,W3 - South,Van,Grocery,8.25,5,10.88,-33.3,True,2026-06-16,2026-06,2026-06-15
ORD100017,2026-05-12 05:10:00,W1 - North,Bike,Electronics,11.32,3,12.53,-7.7,True,2026-05-12,2026-05,2026-05-11
ORD100018,2026-07-15 14:21:00,W1 - North,Bike,Home & Kitchen,7.85,3,7.89,-45.6,True,2026-07-15,2026-07,2026-07-13
ORD100019,2026-06-10 17:53:00,W1 - North,Truck,Apparel,1.23,5,6.18,-20.7,True,2026-06-10,2026-06,2026-06-08
ORD100020,2026-06-15 08:23:00,W1 - North,Truck,Apparel,1.41,3,7.15,-24.4,True,2026-06-15,2026-06,2026-06-15
ORD100021,2026-06-03 03:08:00,W2 - Central,Truck,Grocery,1.87,4,9.12,-5.8,True,2026-06-03,2026-06,2026-06-01
ORD100022,2026-05-17 09:17:00,W2 - Central,Van,Apparel,1.88,9,10.26,10.4,False,2026-05-17,2026-05,2026-05-11
ORD100023,2026-07-23 04:45:00,W2 - Central,Truck,Grocery,5.6,6,16.38,-3.1,True,2026-07-23,2026-07,2026-07-20
ORD100024,2026-07-10 08:58:00,W1 - North,Bike,Personal Care,1.72,5,7.8,-33.4,True,2026-07-10,2026-07,2026-07-06
ORD100025,2026-06-27 15:02:00,W1 - North,Truck,Personal Care,0.92,4,7.73,-3.5,True,2026-06-27,2026-06,2026-06-22
ORD100026,2026-06-06 02:43:00,W1 - North,Van,Grocery,4.31,2,10.39,-29.0,True,2026-06-06,2026-06,2026-06-01
ORD100027,2026-07-14 17:56:00,W3 - South,Van,Personal Care,23.21,5,26.21,-6.0,True,2026-07-14,2026-07,2026-07-13
ORD100028,2026-06-19 05:23:00,W2 - Central,Truck,Apparel,4.54,6,13.98,3.1,False,2026-06-19,2026-06,2026-06-15
ORD100029,2026-06-09 21:28:00,W1 - North,Van,Grocery,8.92,8,17.09,-6.2,True,2026-06-09,2026-06,2026-06-08
ORD100030,2026-06-10 17:34:00,W3 - South,Van,Grocery,22.42,5,26.39,-7.3,True,2026-06-10,2026-06,2026-06-08
ORD100031,2026-05-21 06:32:00,W1 - North,Van,Personal Care,2.43,4,6.61,-39.4,True,2026-05-21,2026-05,2026-05-18
ORD100032,2026-05-09 13:31:00,W1 - North,Van,Home & Kitchen,21.64,3,23.56,20.5,False,2026-05-09,2026-05,2026-05-04
ORD100033,2026-06-19 02:39:00,W1 - North,Van,Home & Kitchen,2.53,3,8.11,-35.6,True,2026-06-19,2026-06,2026-06-15
ORD100034,2026-07-19 02:23:00,W3 - South,Truck,Grocery,7.29,3,15.58,-20.3,True,2026-07-19,2026-07,2026-07-13
ORD100035,2026-05-06 22:56:00,W2 - Central,Truck,Grocery,13.17,5,25.84,19.7,False,2026-05-06,2026-05,2026-05-04
ORD100036,2026-07-17 19:15:00,W2 - Central,Truck,Electronics,3.8,7,11.42,5.1,False,2026-07-17,2026-07,2026-07-13
ORD100037,2026-07-14 03:42:00,W1 - North,Van,Home & Kitchen,22.89,4,21.03,13.0,False,2026-07-14,2026-07,2026-07-13
ORD100038,2026-05-25 06:47:00,W1 - North,Van,Home & Kitchen,16.37,5,19.85,-1.3,True,2026-05-25,2026-05,2026-05-25
ORD100039,2026-06-26 04:44:00,W2 - Central,Van,Grocery,3.39,6,10.17,-7.6,True,2026-06-26,2026-06,2026-06-22
